property_id,source,title,district_canonical,locality,listing_intent,price,bedrooms,bathrooms,image_count,sample_image_1,sample_image_2,sample_image_3,listing_url,current_cnn_property_type,current_cnn_bedroom_class,current_style,current_environment,current_condition,suggested_bedrooms_from_text,suggested_cnn_bedroom_class,suggested_style,suggested_environment,suggested_condition,review_flags,review_priority,approved_for_training,review_status,reviewed_bedrooms,reviewed_cnn_bedroom_class,reviewed_style,reviewed_environment,reviewed_condition,reviewer_notes,reviewed_price,reviewed_listing_intent
propmarket--W_SCLUM4oeyqk-b1OnxZ,propmarket,"3 Bedrooms, House",Berea,Ha Foso,sale,850000,3,2,4,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket--W_SCLUM4oeyqk-b1OnxZ\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket--W_SCLUM4oeyqk-b1OnxZ\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket--W_SCLUM4oeyqk-b1OnxZ\image_3.jpg,https://www.propmarket.co.ls/properties/-W_SCLUM4oeyqk-b1OnxZ,House,3,Traditional,Suburban,Good,3.0,3,,,,,low,yes,pending,,,,,,,,
propmarket-j7OKpdwoVzgjB5YPW6h7t,propmarket,"4 Bedrooms, House",Maseru,Makhoakhoeng,sale,2000000,4,2,4,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-j7OKpdwoVzgjB5YPW6h7t\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-j7OKpdwoVzgjB5YPW6h7t\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-j7OKpdwoVzgjB5YPW6h7t\image_3.jpg,https://www.propmarket.co.ls/properties/j7OKpdwoVzgjB5YPW6h7t,House,4,Traditional,Suburban,Good,4.0,4,,,,,low,yes,pending,,,,,,,,
propmarket-F4nO0XrUILj-vFaZTz-k3,propmarket,"3 Bedrooms, House",Maseru,Ha Lesia,sale,1700000,3,2,4,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-F4nO0XrUILj-vFaZTz-k3\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-F4nO0XrUILj-vFaZTz-k3\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-F4nO0XrUILj-vFaZTz-k3\image_3.jpg,https://www.propmarket.co.ls/properties/F4nO0XrUILj-vFaZTz-k3,House,3,Traditional,Suburban,Good,3.0,3,,,,,low,yes,pending,,,,,,,,
propmarket-OIdYZElsdeDyv41F4x5il,propmarket,"3 Bedrooms, House",Maseru,Thetsane West,rent,25000,3,3,4,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-OIdYZElsdeDyv41F4x5il\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-OIdYZElsdeDyv41F4x5il\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-OIdYZElsdeDyv41F4x5il\image_3.jpg,https://www.propmarket.co.ls/properties/OIdYZElsdeDyv41F4x5il,House,3,Traditional,Suburban,Good,3.0,3,,Suburban,,,low,yes,pending,,,,,,,,
propmarket-0QFUac0OuPntEvs1dcaLz,propmarket,"2 Bedrooms, House",Maseru,Ha Mohasoa,sale,250000,2,1,1,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-0QFUac0OuPntEvs1dcaLz\image_1.jpg,,,https://www.propmarket.co.ls/properties/0QFUac0OuPntEvs1dcaLz,House,2,Traditional,Suburban,Good,2.0,2,,,,low_image_count,medium,yes,pending,,,,,,,,
propmarket-R1EHwI39jo3u1vRoZT8zr,propmarket,"4 Bedrooms, House",Maseru,Lower Thetsane,sale,3400000,4,1,4,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-R1EHwI39jo3u1vRoZT8zr\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-R1EHwI39jo3u1vRoZT8zr\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-R1EHwI39jo3u1vRoZT8zr\image_3.jpg,https://www.propmarket.co.ls/properties/R1EHwI39jo3u1vRoZT8zr,House,4,Contemporary,Suburban,Good,4.0,4,,Suburban,,possible_commercial_mix,high,no,exclude,,,,,,"Auto-excluded in first-pass review because the row looks multi-unit, development stock, or mixed commercial inventory. Auto-excluded in first-pass review because the row looks multi-unit, development stock, or mixed commercial inventory.",,
propmarket-4Jzf7HXyRaHeAHAkf22QO,propmarket,"3 Bedrooms, House",Maseru,Lithabaneng,sale,1200000,3,2,1,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-4Jzf7HXyRaHeAHAkf22QO\image_1.jpg,,,https://www.propmarket.co.ls/properties/4Jzf7HXyRaHeAHAkf22QO,House,3,Traditional,Suburban,Good,3.0,3,,,,low_image_count,medium,yes,pending,,,,,,,,
propmarket-N1X4WI2f98bpGHq_NFisR,propmarket,"3 Bedrooms, House",Maseru,Matebeleng (ha Penapena),sale,2000000,3,2,4,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-N1X4WI2f98bpGHq_NFisR\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-N1X4WI2f98bpGHq_NFisR\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-N1X4WI2f98bpGHq_NFisR\image_3.jpg,https://www.propmarket.co.ls/properties/N1X4WI2f98bpGHq_NFisR,House,3,Traditional,Urban,Good,3.0,3,,Urban,,,low,yes,pending,,,,,,,,
propmarket-XG8eL6O2ivKvbk3Mo9gPE,propmarket,"4 Bedrooms, House",Maseru,Happy Villa,sale,6350000,4,4,1,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-XG8eL6O2ivKvbk3Mo9gPE\image_1.jpg,,,https://www.propmarket.co.ls/properties/XG8eL6O2ivKvbk3Mo9gPE,House,4,Contemporary,Suburban,Good,4.0,4,,,,possible_commercial_mix|low_image_count,high,no,exclude,,,,,,"Auto-excluded in first-pass review because the row looks multi-unit, development stock, or mixed commercial inventory. Auto-excluded in first-pass review because the row looks multi-unit, development stock, or mixed commercial inventory.",,
propmarket-cLapWASFVCs_QIY5vAVMY,propmarket,"3 Bedrooms, House",Leribe,Hlotse,sale,950000,3,2,3,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-cLapWASFVCs_QIY5vAVMY\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-cLapWASFVCs_QIY5vAVMY\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-cLapWASFVCs_QIY5vAVMY\image_3.jpg,https://www.propmarket.co.ls/properties/cLapWASFVCs_QIY5vAVMY,House,3,Traditional,Urban,Good,3.0,3,,,,,low,yes,pending,,,,,,,,
propmarket-N_p5Bxk0pWrJ0ZwkMnuiG,propmarket,"3 Bedrooms, House",Maseru,Masowe Iii,sale,3500000,3,1,4,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-N_p5Bxk0pWrJ0ZwkMnuiG\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-N_p5Bxk0pWrJ0ZwkMnuiG\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-N_p5Bxk0pWrJ0ZwkMnuiG\image_3.jpg,https://www.propmarket.co.ls/properties/N_p5Bxk0pWrJ0ZwkMnuiG,House,3,Traditional,Suburban,New,3.0,3,,,New,,low,yes,pending,,,,,,,,
propmarket-cMZbiTkolMW4BED2Igjd2,propmarket,"3 Bedrooms, House",Maseru,Ha Matala,sale,2500000,3,2,4,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-cMZbiTkolMW4BED2Igjd2\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-cMZbiTkolMW4BED2Igjd2\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-cMZbiTkolMW4BED2Igjd2\image_3.jpg,https://www.propmarket.co.ls/properties/cMZbiTkolMW4BED2Igjd2,House,3,Family,Garden,Good,3.0,3,Family,Garden,,,low,yes,pending,,,,,,,,
propmarket-tlOHVm7MK5jPwM8GrnZzU,propmarket,"2 Bedrooms, House",Maseru,Matebeleng (ha Penapena),sale,1250000,2,2,5,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-tlOHVm7MK5jPwM8GrnZzU\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-tlOHVm7MK5jPwM8GrnZzU\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-tlOHVm7MK5jPwM8GrnZzU\image_3.jpg,https://www.propmarket.co.ls/properties/tlOHVm7MK5jPwM8GrnZzU,House,2,Traditional,Urban,Good,2.0,2,,Urban,,,low,yes,pending,,,,,,,,
propmarket-TAauZyw_XaAMTcDGOCVox,propmarket,"3 Bedrooms, House",Maseru,Matebeleng (ha Penapena),sale,2200000,3,2,5,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-TAauZyw_XaAMTcDGOCVox\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-TAauZyw_XaAMTcDGOCVox\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-TAauZyw_XaAMTcDGOCVox\image_3.jpg,https://www.propmarket.co.ls/properties/TAauZyw_XaAMTcDGOCVox,House,3,Traditional,Urban,Good,3.0,3,,Urban,,,low,yes,pending,,,,,,,,
propmarket-yDtmjWG-Q-xKbELGv4J8E,propmarket,"3 Bedrooms, House",Maseru,Ha Motloheloa,sale,1330000,3,2,5,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-yDtmjWG-Q-xKbELGv4J8E\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-yDtmjWG-Q-xKbELGv4J8E\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-yDtmjWG-Q-xKbELGv4J8E\image_3.jpg,https://www.propmarket.co.ls/properties/yDtmjWG-Q-xKbELGv4J8E,House,3,Traditional,Suburban,Good,3.0,3,,,,,low,yes,pending,,,,,,,,
propmarket-24W37YfaY3ZCq1jfnZaik,propmarket,"4 Bedrooms, House",Maseru,Sea Point,sale,2300000,4,3,5,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-24W37YfaY3ZCq1jfnZaik\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-24W37YfaY3ZCq1jfnZaik\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-24W37YfaY3ZCq1jfnZaik\image_3.jpg,https://www.propmarket.co.ls/properties/24W37YfaY3ZCq1jfnZaik,House,4,Family,Suburban,New,4.0,4,Family,Suburban,New,possible_commercial_mix,high,no,exclude,,,,,,"Auto-excluded in first-pass review because the row looks multi-unit, development stock, or mixed commercial inventory. Auto-excluded in first-pass review because the row looks multi-unit, development stock, or mixed commercial inventory.",,
propmarket-Tc6ZRjEuTnPYdBTEdSG6M,propmarket,"2 Bedrooms, House",Berea,Koalabata,sale,400000,2,1,5,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-Tc6ZRjEuTnPYdBTEdSG6M\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-Tc6ZRjEuTnPYdBTEdSG6M\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-Tc6ZRjEuTnPYdBTEdSG6M\image_3.jpg,https://www.propmarket.co.ls/properties/Tc6ZRjEuTnPYdBTEdSG6M,House,2,Traditional,Suburban,Good,2.0,2,,,Good,,low,yes,pending,,,,,,,,
propmarket-8uq5URIlKh88PsVzl_XGq,propmarket,"8 Units, Malaene",Berea,Teyateyaneng,sale,350000,2,1,4,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-8uq5URIlKh88PsVzl_XGq\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-8uq5URIlKh88PsVzl_XGq\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-8uq5URIlKh88PsVzl_XGq\image_3.jpg,https://www.propmarket.co.ls/properties/8uq5URIlKh88PsVzl_XGq,House,2,Traditional,Urban,Good,,,,Urban,,possible_multi_unit,high,no,exclude,,,,,,"Auto-excluded in first-pass review because the row looks multi-unit, development stock, or mixed commercial inventory. Auto-excluded in first-pass review because the row looks multi-unit, development stock, or mixed commercial inventory.",,
propmarket-Ri6CHRmQ6lKLwrAgtmMQM,propmarket,"3 Bedrooms, House",Maseru,Masowe Iii,sale,1800000,3,3,5,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-Ri6CHRmQ6lKLwrAgtmMQM\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-Ri6CHRmQ6lKLwrAgtmMQM\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-Ri6CHRmQ6lKLwrAgtmMQM\image_3.jpg,https://www.propmarket.co.ls/properties/Ri6CHRmQ6lKLwrAgtmMQM,House,3,Traditional,Suburban,Good,3.0,3,,,,,low,yes,pending,,,,,,,,
propmarket-xIf5GMbseSPtVlurr3EFE,propmarket,"3 Bedrooms, House",Maseru,Ha Tsolo,sale,900000,3,1,5,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-xIf5GMbseSPtVlurr3EFE\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-xIf5GMbseSPtVlurr3EFE\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-xIf5GMbseSPtVlurr3EFE\image_3.jpg,https://www.propmarket.co.ls/properties/xIf5GMbseSPtVlurr3EFE,House,3,Traditional,Suburban,Good,3.0,3,,,,,low,yes,pending,,,,,,,,
propmarket-YeJOdv1same7Be9Pfqx6y,propmarket,"2 Bedrooms, House",Berea,Khubetsoana,sale,600000,2,1,5,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-YeJOdv1same7Be9Pfqx6y\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-YeJOdv1same7Be9Pfqx6y\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-YeJOdv1same7Be9Pfqx6y\image_3.jpg,https://www.propmarket.co.ls/properties/YeJOdv1same7Be9Pfqx6y,House,2,Traditional,Suburban,Good,2.0,2,,,,,low,yes,pending,,,,,,,,
propmarket-k8AX2jh1R695RF-5UBAIV,propmarket,"2 Bedrooms, House",Berea,Maqhaka,sale,220000,2,1,5,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-k8AX2jh1R695RF-5UBAIV\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-k8AX2jh1R695RF-5UBAIV\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-k8AX2jh1R695RF-5UBAIV\image_3.jpg,https://www.propmarket.co.ls/properties/k8AX2jh1R695RF-5UBAIV,House,2,Traditional,Suburban,Good,2.0,2,,,,,low,yes,pending,,,,,,,,
propmarket-_zELaVV-BDUsJNyZbtujP,propmarket,"6 Units, Malaene",Maseru,Qoaling,sale,600000,2,1,5,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-_zELaVV-BDUsJNyZbtujP\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-_zELaVV-BDUsJNyZbtujP\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-_zELaVV-BDUsJNyZbtujP\image_3.jpg,https://www.propmarket.co.ls/properties/_zELaVV-BDUsJNyZbtujP,House,2,Traditional,Suburban,Good,,,,,,possible_multi_unit,high,no,exclude,,,,,,"Auto-excluded in first-pass review because the row looks multi-unit, development stock, or mixed commercial inventory. Auto-excluded in first-pass review because the row looks multi-unit, development stock, or mixed commercial inventory.",,
propmarket-e2NFTtDz2NDVZ4h5U87Hr,propmarket,"3 Bedrooms, House",Maseru,Pena Pena,sale,1400000,3,2,5,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-e2NFTtDz2NDVZ4h5U87Hr\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-e2NFTtDz2NDVZ4h5U87Hr\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-e2NFTtDz2NDVZ4h5U87Hr\image_3.jpg,https://www.propmarket.co.ls/properties/e2NFTtDz2NDVZ4h5U87Hr,House,3,Traditional,Suburban,New,3.0,3,Modern,,New,style_mismatch:Traditional->Modern,medium,yes,pending,,,,,,,,
propmarket-UuhECTjkxd0jY3uFasnSj,propmarket,"2 Bedrooms, House",Maseru,Ha Tsolo,sale,400000,2,1,5,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-UuhECTjkxd0jY3uFasnSj\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-UuhECTjkxd0jY3uFasnSj\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-UuhECTjkxd0jY3uFasnSj\image_3.jpg,https://www.propmarket.co.ls/properties/UuhECTjkxd0jY3uFasnSj,House,2,Traditional,Suburban,Good,2.0,2,,,,,low,yes,pending,,,,,,,,
propmarket-C9lcWgLNZxWHPX7Wj8iGv,propmarket,"2 Bedrooms, House",Berea,Koalabata,sale,550000,2,1,5,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-C9lcWgLNZxWHPX7Wj8iGv\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-C9lcWgLNZxWHPX7Wj8iGv\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-C9lcWgLNZxWHPX7Wj8iGv\image_3.jpg,https://www.propmarket.co.ls/properties/C9lcWgLNZxWHPX7Wj8iGv,House,2,Traditional,Suburban,Good,2.0,2,,,,,low,yes,pending,,,,,,,,
propmarket-nc43EhrGALYvCzC6PP0Ay,propmarket,"3 Bedrooms, House",Maseru,Mazenod,sale,650000,3,1,5,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-nc43EhrGALYvCzC6PP0Ay\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-nc43EhrGALYvCzC6PP0Ay\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-nc43EhrGALYvCzC6PP0Ay\image_3.jpg,https://www.propmarket.co.ls/properties/nc43EhrGALYvCzC6PP0Ay,House,3,Traditional,Suburban,Good,3.0,3,,,,,low,yes,pending,,,,,,,,
